--- 批量裁剪记录 ---
源文件: F:/手机相册/谭思慧直播/20251122/[口袋48录播]_CGT48-谭思慧_(‧‧)nnn_2025-11-23~00.06.21_1199143051782328320__2025-12-07~13.44.36.ts

名称: 红昭愿
开始: 4:18
结束: 5:35

名称: 爱笑的眼睛
开始: 8:38
结束: 9:18

名称: 女孩
开始: 11:45
结束: 14:43

名称: 如果可以
开始: 15:10
结束: 17:45

名称: 刻在我心底的名字
开始: 18:23
结束: 20:50

名称: 坏女孩
开始: 21:44
结束: 23:53

名称: 想见你想见你想见你
开始: 24:15
结束: 25:42

